date,requests_per_minute
2026-02-18 13:35,8
2026-02-18 17:18,8
2026-02-18 17:19,180
2026-02-18 17:18,8
2026-02-18 17:19,180
2026-02-18 17:18,8
2026-02-18 17:19,180
2026-02-18 17:19,180
2026-02-18 17:19,180
2026-02-18 17:19,180
2026-02-18 17:19,180
2026-02-18 17:19,180
2026-02-18 17:19,180
2026-02-18 17:19,180
2026-02-18 17:19,153
2026-02-18 17:19,108
2026-02-18 17:19,54
2026-02-18 17:20,8
2026-02-18 17:20,8
2026-02-18 17:20,8
2026-02-18 17:20,8
2026-02-18 17:57,71
2026-02-18 17:58,179
2026-02-18 17:58,57
2026-02-18 17:59,28
2026-02-18 17:58,29
2026-02-18 17:59,64
2026-02-18 17:59,22
2026-02-18 18:00,71
2026-02-18 17:59,15
2026-02-18 18:00,78
2026-02-18 18:03,7
2026-02-18 18:04,30
2026-02-18 18:03,7
2026-02-18 18:04,53
2026-02-18 18:03,7
2026-02-18 18:04,53
2026-02-18 18:03,7
2026-02-18 18:04,60
2026-02-18 18:03,7
2026-02-18 18:04,67
2026-02-18 18:03,7
2026-02-18 18:04,75
2026-02-18 18:10,7
2026-02-18 18:11,29
2026-02-18 18:11,59
2026-02-18 18:12,43
2026-02-18 18:11,59
2026-02-18 18:12,43
2026-02-18 18:11,52
2026-02-18 18:12,50
2026-02-18 18:11,45
2026-02-18 18:12,57
2026-02-18 18:11,45
2026-02-18 18:12,57
2026-02-18 18:11,37
2026-02-18 18:12,64
2026-02-18 18:11,30
2026-02-18 18:12,71
2026-02-18 18:11,22
2026-02-18 18:12,71
2026-02-18 18:11,15
2026-02-18 18:12,78
2026-02-18 18:11,7
2026-02-18 18:12,85
2026-02-18 18:12,92
2026-02-18 18:12,92
2026-02-18 18:12,85
2026-02-18 18:13,7
2026-02-18 18:12,78
2026-02-18 18:13,15
2026-02-18 18:12,78
2026-02-18 18:13,22
2026-02-18 18:12,71
2026-02-18 18:13,22
2026-02-18 18:14,50
2026-02-18 18:15,14
2026-02-18 18:14,43
2026-02-18 18:15,21
2026-02-18 21:13,43
2026-02-18 21:14,21
2026-02-18 21:13,34
2026-02-18 21:14,50
2026-02-18 21:13,32
2026-02-18 21:14,57
2026-02-18 21:13,29
2026-02-18 21:14,64
2026-02-18 21:14,93
2026-02-18 21:14,86
2026-02-18 21:15,7
2026-02-18 21:14,79
2026-02-18 21:15,14
2026-02-18 21:14,72
2026-02-18 21:15,14
2026-02-18 21:14,72
2026-02-18 21:15,29
2026-02-18 21:14,65
2026-02-18 21:15,36
2026-02-18 21:15,101
2026-02-18 21:16,14
2026-02-18 21:15,72
2026-02-18 21:16,102
2026-02-18 21:15,65
2026-02-18 21:16,109
2026-02-18 21:15,65
2026-02-18 21:16,123
2026-02-18 21:15,58
2026-02-18 21:16,138
2026-02-18 21:15,51
2026-02-18 21:16,152
2026-02-18 21:15,51
2026-02-18 21:16,159
2026-02-18 21:15,44
2026-02-18 21:16,174
2026-02-18 21:15,37
2026-02-18 21:16,196
2026-02-18 21:15,37
2026-02-18 21:16,211
2026-02-18 21:15,30
2026-02-18 21:16,218
2026-02-18 21:15,15
2026-02-18 21:16,241
