date,cpu_usage
2026-02-18 13:28:36,3.7
2026-02-18 13:32:05,2.5
2026-02-18 13:32:08,12.6
2026-02-18 13:32:10,5.8
2026-02-18 13:35:48,6.8
2026-02-18 13:45:00,3.3
2026-02-18 17:19:45,6.4
2026-02-18 17:19:49,5.7
2026-02-18 17:19:52,10.2
2026-02-18 17:19:55,14.1
2026-02-18 17:19:59,6.9
2026-02-18 17:20:02,5.8
2026-02-18 17:20:05,4.1
2026-02-18 17:20:09,3.0
2026-02-18 17:20:12,3.3
2026-02-18 17:20:15,7.6
2026-02-18 17:20:19,4.1
2026-02-18 17:20:22,4.3
2026-02-18 17:20:25,3.6
2026-02-18 17:20:29,6.0
2026-02-18 17:20:32,4.4
2026-02-18 17:20:35,5.2
2026-02-18 17:20:39,9.7
2026-02-18 17:58:44,9.9
2026-02-18 17:59:22,21.0
2026-02-18 17:59:45,9.7
2026-02-18 18:00:43,17.5
2026-02-18 18:00:46,16.1
2026-02-18 18:04:11,24.2
2026-02-18 18:04:20,13.6
2026-02-18 18:04:23,14.1
2026-02-18 18:04:27,14.9
2026-02-18 18:04:30,16.6
2026-02-18 18:04:33,9.3
2026-02-18 18:04:37,14.6
2026-02-18 18:11:11,22.8
2026-02-18 18:12:25,11.0
2026-02-18 18:12:27,11.0
2026-02-18 18:12:30,16.8
2026-02-18 18:12:34,6.9
2026-02-18 18:12:37,17.2
2026-02-18 18:12:40,16.9
2026-02-18 18:12:44,28.7
2026-02-18 18:12:47,21.2
2026-02-18 18:12:51,25.9
2026-02-18 18:12:54,14.0
2026-02-18 18:12:58,7.2
2026-02-18 18:13:01,18.8
2026-02-18 18:13:04,11.5
2026-02-18 18:13:08,11.0
2026-02-18 18:13:11,18.6
2026-02-18 18:13:15,20.7
2026-02-18 18:13:18,14.2
2026-02-18 18:15:10,9.4
2026-02-18 18:15:14,11.6
2026-02-18 21:14:17,14.9
2026-02-18 21:14:34,12.8
2026-02-18 21:14:37,18.3
2026-02-18 21:14:41,22.0
2026-02-18 21:15:02,17.8
2026-02-18 21:15:05,13.7
2026-02-18 21:15:09,13.0
2026-02-18 21:15:12,13.6
2026-02-18 21:15:16,12.7
2026-02-18 21:15:19,10.7
2026-02-18 21:16:02,16.6
2026-02-18 21:16:21,16.5
2026-02-18 21:16:24,12.1
2026-02-18 21:16:28,17.8
2026-02-18 21:16:31,15.0
2026-02-18 21:16:34,11.3
2026-02-18 21:16:38,15.4
2026-02-18 21:16:41,14.4
2026-02-18 21:16:45,15.7
2026-02-18 21:16:48,15.7
2026-02-18 21:16:52,15.4
2026-02-18 21:16:55,12.2
