date,disk_usage_percent,disk_total_gb,disk_free_gb
2026-02-18 13:28:36,53.6,1862.12,864.35
2026-02-18 13:32:05,53.6,1862.12,864.34
2026-02-18 13:32:08,53.6,1862.12,864.34
2026-02-18 13:32:10,53.6,1862.12,864.34
2026-02-18 13:35:48,53.6,1862.12,864.34
2026-02-18 13:45:00,53.6,1862.12,864.34
2026-02-18 17:19:45,53.6,1862.12,864.33
2026-02-18 17:19:49,53.6,1862.12,864.33
2026-02-18 17:19:52,53.6,1862.12,864.33
2026-02-18 17:19:55,53.6,1862.12,864.33
2026-02-18 17:19:59,53.6,1862.12,864.33
2026-02-18 17:20:02,53.6,1862.12,864.33
2026-02-18 17:20:05,53.6,1862.12,864.33
2026-02-18 17:20:09,53.6,1862.12,864.33
2026-02-18 17:20:12,53.6,1862.12,864.33
2026-02-18 17:20:15,53.6,1862.12,864.33
2026-02-18 17:20:19,53.6,1862.12,864.33
2026-02-18 17:20:22,53.6,1862.12,864.33
2026-02-18 17:20:25,53.6,1862.12,864.33
2026-02-18 17:20:29,53.6,1862.12,864.33
2026-02-18 17:20:32,53.6,1862.12,864.33
2026-02-18 17:20:35,53.6,1862.12,864.33
2026-02-18 17:20:39,53.6,1862.12,864.33
2026-02-18 17:58:44,53.6,1862.12,864.36
2026-02-18 17:59:22,53.6,1862.12,864.36
2026-02-18 17:59:45,53.6,1862.12,864.36
2026-02-18 18:00:43,53.6,1862.12,864.36
2026-02-18 18:00:46,53.6,1862.12,864.36
2026-02-18 18:04:11,53.6,1862.12,864.36
2026-02-18 18:04:20,53.6,1862.12,864.36
2026-02-18 18:04:23,53.6,1862.12,864.36
2026-02-18 18:04:27,53.6,1862.12,864.36
2026-02-18 18:04:30,53.6,1862.12,864.36
2026-02-18 18:04:33,53.6,1862.12,864.36
2026-02-18 18:04:37,53.6,1862.12,864.36
2026-02-18 18:11:11,53.6,1862.12,864.36
2026-02-18 18:12:25,53.6,1862.12,864.36
2026-02-18 18:12:27,53.6,1862.12,864.36
2026-02-18 18:12:30,53.6,1862.12,864.36
2026-02-18 18:12:34,53.6,1862.12,864.36
2026-02-18 18:12:37,53.6,1862.12,864.36
2026-02-18 18:12:40,53.6,1862.12,864.36
2026-02-18 18:12:44,53.6,1862.12,864.36
2026-02-18 18:12:47,53.6,1862.12,864.36
2026-02-18 18:12:51,53.6,1862.12,864.36
2026-02-18 18:12:54,53.6,1862.12,864.36
2026-02-18 18:12:58,53.6,1862.12,864.36
2026-02-18 18:13:01,53.6,1862.12,864.36
2026-02-18 18:13:04,53.6,1862.12,864.36
2026-02-18 18:13:08,53.6,1862.12,864.36
2026-02-18 18:13:11,53.6,1862.12,864.36
2026-02-18 18:13:15,53.6,1862.12,864.36
2026-02-18 18:13:18,53.6,1862.12,864.36
2026-02-18 18:15:10,53.6,1862.12,864.36
2026-02-18 18:15:14,53.6,1862.12,864.36
2026-02-18 21:14:17,53.7,1862.12,862.64
2026-02-18 21:14:34,53.7,1862.12,862.64
2026-02-18 21:14:37,53.7,1862.12,862.64
2026-02-18 21:14:41,53.7,1862.12,862.64
2026-02-18 21:15:02,53.7,1862.12,862.64
2026-02-18 21:15:05,53.7,1862.12,862.64
2026-02-18 21:15:09,53.7,1862.12,862.64
2026-02-18 21:15:12,53.7,1862.12,862.64
2026-02-18 21:15:16,53.7,1862.12,862.64
2026-02-18 21:15:19,53.7,1862.12,862.64
2026-02-18 21:16:02,53.7,1862.12,862.64
2026-02-18 21:16:21,53.7,1862.12,862.64
2026-02-18 21:16:24,53.7,1862.12,862.64
2026-02-18 21:16:28,53.7,1862.12,862.64
2026-02-18 21:16:31,53.7,1862.12,862.64
2026-02-18 21:16:34,53.7,1862.12,862.64
2026-02-18 21:16:38,53.7,1862.12,862.64
2026-02-18 21:16:41,53.7,1862.12,862.64
2026-02-18 21:16:45,53.7,1862.12,862.64
2026-02-18 21:16:48,53.7,1862.12,862.64
2026-02-18 21:16:52,53.7,1862.12,862.64
2026-02-18 21:16:55,53.7,1862.12,862.64
