date,pid,name,user,mem_mb
2026-02-18 21:16:55,20320,brave.exe,PAPASOTESPEPINO\Mike,2740.98
2026-02-18 21:16:55,3544,MemCompression,,1838.97
2026-02-18 21:16:55,29996,LeagueClientUxRender.exe,PAPASOTESPEPINO\Mike,530.68
2026-02-18 21:16:55,1452,CamoStudio.exe,PAPASOTESPEPINO\Mike,417.32
2026-02-18 21:16:55,9888,explorer.exe,PAPASOTESPEPINO\Mike,404.12
2026-02-18 21:16:55,25012,SignalRgb.exe,PAPASOTESPEPINO\Mike,387.55
2026-02-18 21:16:55,5316,MsMpEng.exe,,361.23
2026-02-18 21:16:55,31208,Discord.exe,PAPASOTESPEPINO\Mike,316.47
2026-02-18 21:16:55,9784,LeagueClient.exe,PAPASOTESPEPINO\Mike,298.46
2026-02-18 21:16:55,18464,brave.exe,PAPASOTESPEPINO\Mike,270.43
